KOG,PSG,1,2/19/2022,6:00:00 PM,RPL2022Summer,Thailand,Arthur,Nakroth,Lorion,Hayate,Amily,17:44,Lumburr,Laville,Zata,Kriknak,Yena,Omen,Yue,Eland'orr,Keera,1,LuBu,Aoi,Tulen,Aya,B,Ormson
KOG,PSG,2,2/19/2022,6:00:00 PM,RPL2022Summer,Thailand,Riktor,Eland'orr,Tulen,Laville,Lumburr,17:30,Tachi,Capheny,Yue,Keera,Skud,Aya,Omen,Alice,Amily,2,LuBu,Aoi,Mina,Florentino,R,Isilindilz
KOG,PSG,1,2/19/2022,6:00:00 PM,RPL2022Summer,Thailand,Airi,Aoi,Iggy,Slimz,Tachi,21:05,Roxie,Wisp,Tulen,LuBu,Superman,Hayate,Omen,TheJoker,Alice,3,Skud,Florentino,Elsu,Aya,B,DSL
KOG,PSG,2,2/19/2022,6:00:00 PM,RPL2022Summer,Thailand,Yena,Keera,Liliana,TheJoker,WonderWoman,17:00,Mina,Tel'Annas,Lorion,Eland'orr,Riktor,Aya,Omen,Hayate,Airi,4,LuBu,Ryoma,Elsu,Florentino,R,Getsrch
KOG,PSG,2,2/19/2022,6:00:00 PM,RPL2022Summer,Thailand,Qi,Butterfly,Raz,Elsu,Roxie,22:26,Baldum,Hayate,Iggy,Veres,Max,Aoi,Florentino,Amily,Nakroth,5,Kriknak,Superman,Omen,Aya,B,NorNun
TLN,eA,2,2/19/2022,3:00:00 PM,RPL2022Summer,Thailand,Superman,Ryoma,Lorion,Capheny,Toro,12:53,Xeniel,Hayate,Liliana,Eland'orr,Yena,Omen,Florentino,Riktor,Skud,1,Alice,Mina,Amily,Aya,B,Gabrielz
TLN,eA,2,2/19/2022,3:00:00 PM,RPL2022Summer,Thailand,Florentino,LuBu,Tulen,Laville,Amily,26:27,Mina,Elsu,Iggy,Nakroth,Airi,Aya,Superman,Keera,Aoi,2,Roxie,Payna,Hayate,Omen,R,Happybibi
TLN,eA,1,2/19/2022,3:00:00 PM,RPL2022Summer,Thailand,Omen,Nakroth,Yue,Elsu,Tachi,16:44,Lumburr,Capheny,Lorion,Keera,Thane,Superman,Aoi,Florentino,WonderWoman,3,Alice,Eland'orr,Liliana,Aya,B,MOOP
TLN,eA,1,2/19/2022,3:00:00 PM,RPL2022Summer,Thailand,Roxie,Errol,Liliana,Wisp,Lumburr,18:24,Baldum,Slimz,Tulen,Aoi,Skud,Aya,Florentino,Yue,Zata,4,Qi,Xeniel,Hayate,Eland'orr,R,MOOP
TLN,eA,2,2/19/2022,3:00:00 PM,RPL2022Summer,Thailand,Yena,Keera,Raz,Slimz,Mina,18:47,Riktor,Wisp,Annette,WonderWoman,Roxie,Aya,Florentino,LuBu,Errol,5,Skud,Xeniel,Hayate,Eland'orr,R,Ligky
BAC,GCT,1,2/18/2022,7:00:00 PM,RPL2022Summer,Thailand,Riktor,Aoi,Lorion,Capheny,Xeniel,10:36,Mina,Laville,Zata,Tulen,Amily,Omen,Eland'orr,Krixi,Keera,1,WonderWoman,Nakroth,Yue,Aya,B,Moowan
BAC,GCT,1,2/18/2022,7:00:00 PM,RPL2022Summer,Thailand,Skud,Veres,Yue,Elsu,Lumburr,13:42,Omen,Slimz,WonderWoman,Keera,Max,Aya,Lorion,Hayate,Xeniel,2,Eland'orr,Amily,Mina,Florentino,R,Kimsensei
